GRCh38 Isoform	Hugo Symbol
ENST00000318560	ABL1
ENST00000502732	ABL2
ENST00000321945	ABRAXAS1
ENST00000272928	ACKR3
ENST00000573283	ACTG1
ENST00000263640	ACVR1
ENST00000396623	ADHFE1
ENST00000265343	AFF4
ENST00000373204	AGO1
ENST00000220592	AGO2
ENST00000262713	AJUBA
ENST00000349310	AKT1
ENST00000392038	AKT2
ENST00000263826	AKT3
ENST00000295897	ALB
ENST00000258494	ALDH1L2
ENST00000261733	ALDH2
ENST00000389048	ALK
ENST00000647874	ALOX12B
ENST00000374869	AMER1
ENST00000301030	ANKRD11
ENST00000257430	APC
ENST00000257254	APLNR
ENST00000374690	AR
ENST00000377045	ARAF
ENST00000404338	ARHGAP35
ENST00000426542	ARHGEF28
ENST00000324856	ARID1A
ENST00000647938	ARID1B
ENST00000334344	ARID2
ENST00000263620	ARID3A
ENST00000346246	ARID3B
ENST00000378909	ARID3C
ENST00000355431	ARID4A
ENST00000264183	ARID4B
ENST00000357485	ARID5A
ENST00000279873	ARID5B
ENST00000375687	ASXL1
ENST00000435504	ASXL2
ENST00000262053	ATF1
ENST00000278616	ATM
ENST00000295598	ATP1A1
ENST00000369762	ATP6AP1
ENST00000276390	ATP6V1B2
ENST00000350721	ATR
ENST00000320211	ATRIP
ENST00000373344	ATRX
ENST00000550104	ATXN2
ENST00000295900	ATXN7
ENST00000312783	AURKA
ENST00000585124	AURKB
ENST00000262320	AXIN1
ENST00000307078	AXIN2
ENST00000301178	AXL
ENST00000559916	B2M
ENST00000297574	BAALC
ENST00000359435	BABAM1
ENST00000257749	BACH2
ENST00000460680	BAP1
ENST00000260947	BARD1
ENST00000449228	BBC3
ENST00000648566	BCL10
ENST00000357195	BCL11B
ENST00000333681	BCL2
ENST00000307677	BCL2L1
ENST00000393256	BCL2L11
ENST00000164227	BCL3
ENST00000232014	BCL6
ENST00000234739	BCL9
ENST00000378444	BCOR
ENST00000218147	BCORL1
ENST00000305877	BCR
ENST00000263464	BIRC3
ENST00000355112	BLM
ENST00000372037	BMPR1A
ENST00000646891	BRAF
ENST00000357654	BRCA1
ENST00000380152	BRCA2
ENST00000303407	BRD3
ENST00000263377	BRD4
ENST00000259008	BRIP1
ENST00000309383	BRSK1
ENST00000256015	BTG1
ENST00000290551	BTG2
ENST00000308731	BTK
ENST00000316448	CALR
ENST00000396946	CARD11
ENST00000327064	CARM1
ENST00000358485	CASP8
ENST00000412916	CBFB
ENST00000264033	CBL
ENST00000276014	CCNB3
ENST00000227507	CCND1
ENST00000261254	CCND2
ENST00000372991	CCND3
ENST00000262643	CCNE1
ENST00000576892	CCNQ
ENST00000381577	CD274
ENST00000318443	CD276
ENST00000324106	CD28
ENST00000369489	CD58
ENST00000221972	CD79A
ENST00000392795	CD79B
ENST00000344548	CDC42
ENST00000367435	CDC73
ENST00000261769	CDH1
ENST00000447079	CDK12
ENST00000257904	CDK4
ENST00000265734	CDK6
ENST00000381527	CDK8
ENST00000244741	CDKN1A
ENST00000228872	CDKN1B
ENST00000304494	CDKN2A
ENST00000276925	CDKN2B
ENST00000262662	CDKN2C
ENST00000498907	CEBPA
ENST00000335756	CENPA
ENST00000428830	CHEK1
ENST00000404276	CHEK2
ENST00000398235	CHTF8
ENST00000575354	CIC
ENST00000324288	CIITA
ENST00000338099	CMTR2
ENST00000367669	COP1
ENST00000231948	CRBN
ENST00000432329	CREB1
ENST00000262367	CREBBP
ENST00000354336	CRKL
ENST00000381566	CRLF2
ENST00000438362	CSDE1
ENST00000286301	CSF1R
ENST00000361632	CSF3R
ENST00000264010	CTCF
ENST00000648405	CTLA4
ENST00000349496	CTNNB1
ENST00000361367	CTR9
ENST00000264414	CUL3
ENST00000292535	CUX1
ENST00000241393	CXCR4
ENST00000398568	CYLD
ENST00000396402	CYP19A1
ENST00000282018	CYSLTR2
ENST00000266000	DAXX
ENST00000233078	DAZAP1
ENST00000292782	DCUN1D1
ENST00000346473	DDIT3
ENST00000367921	DDR2
ENST00000478993	DDX3X
ENST00000505374	DDX4
ENST00000330503	DDX41
ENST00000652689	DEK
ENST00000393063	DICER1
ENST00000377767	DIS3
ENST00000373970	DKK1
ENST00000285311	DKK2
ENST00000326932	DKK3
ENST00000220812	DKK4
ENST00000254322	DNAJB1
ENST00000340748	DNMT1
ENST00000264709	DNMT3A
ENST00000328111	DNMT3B
ENST00000398665	DOT1L
ENST00000344624	DROSHA
ENST00000257600	DTX1
ENST00000344450	DUSP22
ENST00000240100	DUSP4
ENST00000346618	E2F3
ENST00000270517	ECSIT
ENST00000367682	ECT2L
ENST00000263360	EED
ENST00000308874	EGFL7
ENST00000275493	EGFR
ENST00000239938	EGR1
ENST00000379607	EIF1AX
ENST00000424014	EIF2B1
ENST00000323963	EIF4A2
ENST00000280892	EIF4E
ENST00000359651	ELF3
ENST00000284811	ELOC
ENST00000263253	EP300
ENST00000389561	EP400
ENST00000263734	EPAS1
ENST00000263735	EPCAM
ENST00000336596	EPHA3
ENST00000273854	EPHA5
ENST00000369303	EPHA7
ENST00000398015	EPHB1
ENST00000222139	EPOR
ENST00000269571	ERBB2
ENST00000267101	ERBB3
ENST00000342788	ERBB4
ENST00000391945	ERCC2
ENST00000285398	ERCC3
ENST00000311895	ERCC4
ENST00000652225	ERCC5
ENST00000222329	ERF
ENST00000288319	ERG
ENST00000377482	ERRFI1
ENST00000305188	ESCO2
ENST00000206249	ESR1
ENST00000272342	ETAA1
ENST00000671733	ETNK1
ENST00000405192	ETV1
ENST00000319349	ETV4
ENST00000306376	ETV5
ENST00000396373	ETV6
ENST00000397938	EWSR1
ENST00000378204	EXT1
ENST00000428826	EZH1
ENST00000320356	EZH2
ENST00000342995	EZHIP
ENST00000389301	FANCA
ENST00000289081	FANCC
ENST00000675286	FANCD2
ENST00000233741	FANCL
ENST00000652046	FAS
ENST00000441802	FAT1
